GameDuration,teamDiffAssists,teamDiffAvgLevel,teamDiffCSPerMin,teamDiffDeaths,teamDiffDragons,teamDiffEliteMonsters,teamDiffGoldPerMin,teamDiffHeralds,teamDiffKills,teamDiffTotalExperience,teamDiffTotalGold,teamDiffTotalJungleMinionsKilled,teamDiffTotalMinionsKilled,teamDiffTowersDestroyed,teamDiffWardsDestroyed,teamDiffWardsPlaced,EarlyGameLead
30.0,2,0.20000000000000018,3.1999999999999993,5,1,0,274.0,1,5,1708,2740,22,32,0,2,3,1
26.0,1,0.40000000000000036,0.5999999999999979,2,0,1,194.70000000000005,1,2,2521,1947,16,6,0,11,19,0
20.0,7,1.0,6.300000000000001,7,0,0,471.20000000000005,0,7,3798,4712,1,63,0,2,13,1
27.0,3,0.0,1.5,1,1,1,111.5,0,1,1256,1115,8,15,0,4,4,1
34.0,0,0.20000000000000018,6.300000000000001,1,0,0,83.29999999999995,0,1,116,833,23,63,0,1,22,1
16.0,2,0.40000000000000036,0.6000000000000014,4,1,1,56.40000000000009,0,4,633,564,25,6,0,1,135,0
37.0,3,0.20000000000000018,4.0,0,0,1,58.90000000000009,1,0,1794,589,32,40,1,2,26,0
29.0,0,0.40000000000000036,3.799999999999997,5,0,0,302.0,0,5,2593,3020,8,38,0,4,5,1
19.0,14,0.20000000000000018,5.300000000000001,7,1,0,393.5999999999999,1,7,2111,3936,20,53,0,1,4,0
29.0,7,0.0,0.5,0,1,1,27.699999999999818,0,0,208,277,11,5,0,1,25,0
31.0,4,0.20000000000000018,3.8999999999999986,4,1,1,276.9000000000001,0,4,820,2769,9,39,0,1,35,1
27.0,3,0.0,1.3000000000000007,5,1,1,151.29999999999995,0,5,1585,1513,8,13,0,1,6,0
23.0,9,0.0,0.5,1,1,2,73.59999999999991,1,1,94,736,11,5,0,1,11,0
23.0,2,0.20000000000000018,4.900000000000002,1,1,1,133.4000000000001,0,1,656,1334,3,49,0,1,19,1
26.0,12,0.40000000000000036,2.0,5,1,1,303.60000000000014,0,5,1766,3036,12,20,0,2,1,0
29.0,5,0.20000000000000018,0.9000000000000021,1,1,0,181.0999999999999,1,1,631,1811,8,9,0,9,24,1
25.0,1,0.20000000000000018,0.6999999999999993,2,0,0,145.0999999999999,0,2,1985,1451,9,7,0,0,1,1
22.0,4,0.0,0.6000000000000014,0,1,0,59.799999999999955,1,0,146,598,3,6,0,3,7,0
23.0,5,0.20000000000000018,0.9000000000000021,4,1,1,144.5999999999999,0,4,1597,1446,0,9,0,2,1,1
30.0,5,0.0,1.1999999999999993,1,1,1,161.79999999999995,0,1,393,1618,9,12,1,1,1,1
28.0,0,0.20000000000000018,2.599999999999998,1,1,1,9.299999999999955,0,1,1276,93,5,26,0,3,4,0
26.0,1,0.0,2.6999999999999993,1,0,0,118.29999999999995,0,1,887,1183,16,27,0,2,14,0
27.0,10,0.1999999999999993,4.199999999999999,4,1,1,345.29999999999995,0,4,720,3453,9,42,0,3,4,1
30.0,9,0.6000000000000005,0.5,5,1,1,165.5,0,5,1323,1655,13,5,0,1,1,1
32.0,7,0.40000000000000036,7.600000000000001,6,1,1,446.20000000000005,0,6,2990,4462,4,76,0,0,30,1
38.0,1,0.20000000000000018,1.7000000000000028,1,0,0,55.700000000000045,0,1,1061,557,8,17,0,1,3,0
29.0,4,0.6000000000000005,3.3999999999999986,5,0,0,252.70000000000005,0,5,3473,2527,7,34,0,2,1,1
23.0,2,0.40000000000000036,3.700000000000003,1,1,2,183.10000000000014,1,1,2604,1831,32,37,0,1,4,1
19.0,0,0.20000000000000018,3.0,1,1,0,64.90000000000009,1,1,69,649,1,30,0,3,5,1
30.0,3,0.6000000000000005,0.8999999999999986,6,0,0,309.10000000000014,0,6,2498,3091,4,9,0,0,5,0
25.0,8,0.40000000000000036,0.20000000000000284,7,1,1,270.70000000000005,0,7,1826,2707,6,2,0,4,2,1
33.0,1,0.20000000000000018,0.5,1,1,2,51.200000000000045,1,1,844,512,8,5,0,2,4,1
25.0,7,0.40000000000000036,5.400000000000002,5,0,0,387.4000000000001,0,5,2423,3874,2,54,0,1,0,1
28.0,1,0.20000000000000018,2.3000000000000007,1,1,1,10.0,0,1,219,100,20,23,0,1,1,0
22.0,6,0.20000000000000018,3.900000000000002,2,1,1,50.600000000000136,0,2,1580,506,27,39,0,1,47,0
20.0,13,0.7999999999999998,4.800000000000001,8,0,0,479.60000000000014,0,8,3112,4796,1,48,0,2,1,1
32.0,6,0.20000000000000018,2.3000000000000007,1,1,2,170.89999999999986,1,1,1585,1709,0,23,0,3,59,1
20.0,7,0.20000000000000018,4.200000000000003,6,0,0,55.299999999999955,0,6,114,553,6,42,0,2,5,1
